ID,Timestamp,Value
1,2023-05-14 17:58:27.706202+00:00,200.0
2,2023-05-14 17:58:30.901820+00:00,201.0
3,2023-05-14 17:58:34.085809+00:00,202.0
4,2023-05-14 17:58:37.227549+00:00,203.0
5,2023-05-14 17:58:40.385539+00:00,204.0
6,2023-05-14 17:58:43.572377+00:00,205.0
7,2023-05-14 17:58:46.722808+00:00,206.0
8,2023-05-14 17:58:49.929552+00:00,207.0
9,2023-05-14 17:58:53.129206+00:00,208.0
10,2023-05-14 17:58:56.259595+00:00,209.0
11,2023-05-14 17:58:59.417808+00:00,210.0
12,2023-05-14 17:59:02.586621+00:00,211.0
13,2023-05-14 18:03:08.457810+00:00,200.0
14,2023-05-14 18:03:11.623808+00:00,201.0
15,2023-05-14 18:03:14.796809+00:00,202.0
16,2023-05-14 18:03:17.946809+00:00,203.0
17,2023-05-14 18:03:21.104923+00:00,204.0
18,2023-05-14 18:03:24.259843+00:00,205.0
19,2023-05-14 18:03:27.418619+00:00,206.0
20,2023-05-14 18:03:30.619058+00:00,207.0
21,2023-05-14 18:03:33.776813+00:00,208.0
22,2023-05-14 18:03:36.944597+00:00,209.0
23,2023-05-14 18:03:40.083644+00:00,210.0
24,2023-05-14 18:03:43.251208+00:00,211.0
25,2023-05-14 18:03:46.402821+00:00,212.0
26,2023-05-14 18:03:49.554807+00:00,213.0
27,2023-05-14 18:03:52.711190+00:00,214.0
28,2023-05-14 18:03:55.885023+00:00,215.0
29,2023-05-14 18:03:59.043810+00:00,216.0
30,2023-05-14 18:04:02.219206+00:00,217.0
31,2023-05-14 18:04:05.375811+00:00,218.0
32,2023-05-14 18:04:08.546807+00:00,219.0
33,2023-05-14 18:04:11.730124+00:00,220.0
34,2023-05-14 18:04:14.882691+00:00,221.0
35,2023-05-14 18:04:18.037644+00:00,222.0
