ID,Timestamp,Value
245,2023-05-08 12:00:35.867158+00:00,-4.29
246,2023-05-08 12:00:41.481638+00:00,293.06
247,2023-05-08 12:00:42.675146+00:00,267.26
248,2023-05-08 12:00:43.763256+00:00,273.25
249,2023-05-08 12:00:44.297201+00:00,262.3
250,2023-05-08 12:00:44.814436+00:00,274.88
251,2023-05-08 12:00:45.465904+00:00,284.38
252,2023-05-08 12:00:46.267162+00:00,301.17
253,2023-05-08 12:00:47.629651+00:00,251.09
254,2023-05-08 12:00:48.233774+00:00,292.61
255,2023-05-08 12:00:48.751730+00:00,270.24
256,2023-05-08 12:00:49.323215+00:00,277.27
257,2023-05-08 12:00:49.817327+00:00,276.44
258,2023-05-08 12:00:50.335797+00:00,265.88
259,2023-05-08 12:00:50.830441+00:00,253.0
260,2023-05-08 12:00:51.261770+00:00,279.78
261,2023-05-08 12:00:51.791152+00:00,252.09
262,2023-05-08 12:00:52.236158+00:00,270.42
263,2023-05-08 12:00:52.666637+00:00,284.55
264,2023-05-08 12:00:53.142915+00:00,300.69
265,2023-05-08 12:00:53.553155+00:00,252.63
266,2023-05-08 12:00:54.220154+00:00,281.03
267,2023-05-08 12:00:54.485165+00:00,284.56
268,2023-05-08 12:00:54.969673+00:00,279.05
269,2023-05-08 12:00:55.453723+00:00,267.35
270,2023-05-08 12:00:56.009156+00:00,268.35
271,2023-05-08 12:00:56.411169+00:00,273.78
272,2023-05-08 12:00:56.924727+00:00,257.98
273,2023-05-08 12:00:57.351157+00:00,265.53
274,2023-05-08 12:00:57.744128+00:00,288.66
275,2023-05-08 12:00:58.109753+00:00,296.03
276,2023-05-08 12:00:58.475408+00:00,263.99
277,2023-05-08 12:00:58.814172+00:00,264.2
278,2023-05-08 12:00:59.131162+00:00,249.44
279,2023-05-08 12:00:59.514249+00:00,303.09
